excluded_state,b,se,p,N,rc,ci_low,ci_high
01,.0104038510034091,.0063824807,.103088,191809,0,-.0021055813581796,.0229132833649978
04,.0109528369639512,.006487784,.091368109,191670,0,-.0017629859682873,.0236686598961897
05,.0107747756574938,.0064281565,.093702078,192442,0,-.0018241795963854,.023373730911373
06,.01634233212359,.0069691185,.019028915,167084,0,.0026831108776001,.0300015533695799
08,.0115722253037228,.0065474822,.077156015,190316,0,-.0012606040341366,.0244050546415822
09,.0110329793834512,.0064696609,.088130794,191036,0,-.0016473229810823,.0237132817479847
10,.0112160968607699,.0064682737,.08291506,192596,0,-.0014614866319736,.0238936803535134
12,.0107535361715724,.007023498,.12574966,185775,0,-.0030122668564784,.0245193391996232
13,.0115750251172856,.0065389201,.076698191,190794,0,-.0012410227853264,.0243910730198976
16,.0114744905370543,.0064905784,.077082843,192427,0,-.0012468093839763,.0241957904580849
17,.008947244211755,.006098792,.14236194,177903,0,-.0030061683729746,.0209006567964846
18,.0122315787489769,.006570823,.062673777,187506,0,-.000646997728728,.0251101552266818
19,.0113745120846966,.0064941877,.07986135,191758,0,-.0013538620139923,.0241028861833855
20,.0118742292887514,.0065207747,.06860923,191870,0,-.0009062542375466,.0246547128150494
21,.0116305353217877,.0065478957,.075695857,190136,0,-.0012031044753364,.0244641751189118
22,.0106391056062751,.0064531891,.099217609,192167,0,-.0020089125515359,.0232871237640861
23,.0107898891930448,.0064281463,.093242086,192320,0,-.0018090459818887,.0233888243679783
24,.0113210078437015,.0065173553,.082377382,188375,0,-.0014527738781139,.0240947895655169
25,.0107050142797837,.0064757494,.098311983,188406,0,-.0019872213672787,.0233972499268461
26,.0122969044167947,.0066035343,.062579118,181844,0,-.0006457850473585,.0252395938809479
27,.0109202775355706,.0065189558,.09390334,187423,0,-.0018566410651781,.0236971961363193
28,.0111376254285803,.0064804079,.085676089,192415,0,-.0015637406627207,.0238389915198813
29,.0113995955871092,.0065783872,.083115928,188576,0,-.0014938064539915,.0242929976282099
30,.0105928849288803,.0064090225,.098369919,192175,0,-.0019685683304204,.023154338188181
31,.0111338630850642,.006461286,.084858648,192569,0,-.0015300247413214,.0237977509114498
32,.0109812158670417,.0064941058,.090846121,191618,0,-.0017469976000812,.0237094293341646
33,.0114881403126105,.0064861467,.076530583,192433,0,-.001224473639026,.024200754264247
34,.0114379842975516,.0065863887,.082456134,182937,0,-.0014711003128566,.0243470689079598
35,.0123112391357625,.0065333201,.059513982,191988,0,-.0004938328849609,.0251163111564859
36,.0119427367592623,.0070643569,.090920389,170748,0,-.0019031484058607,.0257886219243853
37,.0112061818952862,.0065130754,.085329458,191315,0,-.0015592113906039,.0239715751811763
38,.0109916875733778,.0064471262,.0882136,192626,0,-.0016444474992686,.0236278226460242
39,.0105908621113693,.0065623075,.10655065,180641,0,-.0022710241990235,.0234527484217621
40,.0104170842309814,.0063772751,.10237031,192413,0,-.00208214528813,.0229163137500928
41,.0118373255855118,.0065822802,.072119579,188246,0,-.0010637064549726,.0247383576259962
42,.0111014597249492,.0067755445,.10132574,175031,0,-.0021783634524034,.0243812829023018
44,.0110922564957929,.0064581893,.085878924,192392,0,-.0015655620129012,.023750075004487
45,.0112233398730556,.0064771129,.083136737,192432,0,-.0014715680991498,.023918247845261
46,.0111488984824673,.0064599039,.084372364,192677,0,-.0015122805116013,.0238100774765359
47,.012381093740858,.006505168,.057005275,191625,0,-.0003688013369538,.0251309888186698
48,.0071540586339812,.005660899,.20631361,185281,0,-.0039410994937562,.0182492167617186
49,.011318522981655,.0064813085,.080753095,192434,0,-.001384608231513,.024021654194823
50,.0111293185359698,.0064599109,.084919557,192505,0,-.001531874148289,.0237905112202286
51,.0106248595866282,.0064727706,.10069987,186268,0,-.0020615376506187,.0233112568238751
53,.0103868759818683,.0065455521,.11254432,184160,0,-.0024421703000766,.0232159222638132
54,.0112730138707452,.0064865137,.082225658,191818,0,-.0014403192722208,.0239863470137112
55,.0116873029464008,.006529022,.073445201,190830,0,-.0011093450439026,.0244839509367042
56,.0109888691163438,.0064462014,.088249519,192620,0,-.0016454533751093,.0236231916077969
