family,specification,variable,b,se,p,N,ci_low,ci_high
baseline,g2_b1,p95_days_lag1_4,.0173173685151688,.010774141,.10798671,2260083,-.0037995601571499,.0384342971874875
baseline,g2_b2,p95_days_lag1_4,.0026476586473522,.0038285106,.48921144,366799,-.0048560843254974,.0101514016202018
baseline,g2_b3,p95_days_lag1_4,.0125615192037565,.0060047666,.036445256,192690,.0007923930084478,.0243306453990652
baseline,g2_b4,p95_days_lag1_4,.011185593094717,.0064609731,.083406262,192690,-.001477681411144,.023848867600578
baseline,g2_b5,p95_days_lag1_4,.0111462698749154,.0064810114,.085462451,192690,-.0015562790488259,.0238488187986567
denominator,nlra_proxy_exact_subset,p95_days_lag1_4,.0151364962027645,.017233998,.37978485,35353,-.0186415183703288,.0489145107758578
dynamic,dynamic16,p95_days_lag1_4,.0095869198573363,.0069409139,.16721173,192690,-.0040170213129751,.0231908610276477
dynamic,dynamic16,p95_days_lag5_8,.0124521125053587,.0061189863,.041851271,192690,.0004591197551658,.0244451052555516
dynamic,dynamic16,p95_days_lag9_12,-.0048174173857531,.0060632564,.42688903,192690,-.0167011815837639,.0070663468122577
dynamic,dynamic16,p95_days_lag13_16,.0088390966306349,.0070477752,.20978083,192690,-.0049742889354386,.0226524821967084
cumulative,dynamic16,sum_beta_1_16,.0260607116075769,.0097142896,.0073026242,192690,.0070210539181891,.0451003692969647
cumulative,dynamic24,sum_beta_1_24,.0218498522913521,.016910143,.19631729,190233,-.0112934193473652,.0549931239300694
placebo,future9_16,p95_days_lag1_4,.0090842510373465,.007616885,.23300785,186775,-.0058445692496351,.0240130713243281
placebo,future9_16,p95_days_future9_16,.0020348697298323,.0041676522,.62537044,186775,-.006133578527844,.0102033179875086
placebo,next_year,p95_days_lag1_4,.0107446339131492,.0095449155,.26029593,170019,-.0079630567408515,.0294523245671499
placebo,next_year,p95_days_next_year,-.0214248069720563,.020120054,.28694454,170019,-.0608593891265308,.0180097751824182
alternative_heat,p90_days_lag1_4,p90_days_lag1_4,.0114236412850666,.0042127939,.0066948324,192690,.0031667169783166,.0196805655918166
alternative_heat,p95_days_lag1_4,p95_days_lag1_4,.011185593094717,.0064609731,.083406262,192690,-.001477681411144,.023848867600578
alternative_heat,p99_days_lag1_4,p99_days_lag1_4,.0245894237063888,.013385363,.066204257,192690,-.0016454055429737,.0508242529557514
alternative_heat,days90f_lag1_4,days90f_lag1_4,-.0017979016587523,.0058144187,.75715846,192690,-.0131939528279752,.0095981495104706
alternative_heat,days95f_lag1_4,days95f_lag1_4,.0099911753412728,.0058063981,.085301951,192690,-.0013891558387892,.0213715065213348
alternative_heat,days100f_lag1_4,days100f_lag1_4,.0078883089126491,.0047265063,.095127024,192690,-.0013754732158843,.0171520910411825
alternative_heat,excess_heat_c_lag1_4,excess_heat_c_lag1_4,.0069900564500734,.0031785974,.027870754,192690,.0007601199700287,.0132199929301181
alternative_heat,heatwave_days_lag1_4,heatwave_days_lag1_4,.005986893671575,.0082719345,.46921322,192690,-.0102257999614654,.0221995873046154
alternative_heat,night_heat_lag1_4,night_heat_lag1_4,-.0100433525524481,.0061636893,.10322023,192690,-.0221239616077649,.0020372565028687
campaign_exclusion,rc_count_excl_starbucks,p95_days_lag1_4,.0095297342698214,.0065530911,.14588116,187928,-.0033140882908342,.022373556830477
campaign_exclusion,rc_count_excl_starbucks_amazon,p95_days_lag1_4,.0092167382187119,.0066094953,.16317594,187812,-.0037376344538277,.0221711108912515
campaign_exclusion,rc_count_excl_top1,p95_days_lag1_4,.0095297342698214,.0065530911,.14588116,187928,-.0033140882908342,.022373556830477
campaign_exclusion,rc_count_excl_top5,p95_days_lag1_4,.0116246922917438,.0064462787,.071338251,184850,-.0010097817044818,.0242591662879694
campaign_exclusion,rc_count_excl_top10,p95_days_lag1_4,.0124448690231108,.0069122701,.071797103,182544,-.0011029314148932,.0259926694611148
period_exclusion,drop_2020_2021,p95_days_lag1_4,.0146527970236984,.0065273559,.024779115,160430,.0018594146001168,.0274461794472799
period_exclusion,drop_2022_2024,p95_days_lag1_4,.0126358816316857,.0077744606,.10409726,129138,-.0026017811339383,.0278735443973097
inference,county_cluster,p95_days_lag1_4,.011185593094717,.0071092681,.11563045,192690,-.0027483163432004,.0251195025326344
inference,county_week_twoway,p95_days_lag1_4,.011185593094717,.007693985,.14599895,192690,-.003894340425274,.026265526614708
