family,specification,outcome,variable,b,se,p,N,positive_outcome_rows,outcome_count,units,ci_low,ci_high
county_week_ppml,primary_design,rc_petition_count,p95_days_lag1_4,.011185593094717,.0064609731,.083406262,192690,18965,21929,1431,-.001477681411144,.023848867600578
county_week_ppml,primary_design,election_180_count,p95_days_lag1_4,.0104576611359487,.008051876,.19401747,146112,14150,15743,1318,-.0053237257903027,.0262390480622001
county_week_ppml,primary_design,certified_rep_365_count,p95_days_lag1_4,.0206160197768804,.01013519,.041941211,95701,9771,10760,1076,.0007514131254178,.040480626428343
county_week_ppml,primary_design,failed_180_count,p95_days_lag1_4,.0220359195305571,.012567318,.079528123,41750,4929,5294,777,-.0025955712191249,.046667410280239
state_week_ppml,aggregate_incidence,rc_petition_count,p95_days_lag1_4,.0009163736827689,.0040358035,.82037628,34667,11339,21990,48,-.0069936558051108,.0088264031706485
state_week_ppml,aggregate_incidence,election_180_count,p95_days_lag1_4,-.0016537945522158,.0047207703,.72609627,34481,9297,15862,48,-.0109063342964898,.0075987451920582
state_week_ppml,aggregate_incidence,certified_rep_365_count,p95_days_lag1_4,-.0046790937214387,.0060519334,.43942955,33195,7081,10915,48,-.0165406652083233,.007182477765446
state_week_ppml,aggregate_incidence,failed_180_count,p95_days_lag1_4,.0084512698106019,.0069822222,.2261261,30635,4200,5512,48,-.0052336342323566,.0221361738535603
full_panel_ols,count_ols_diagnostic,rc_petition_count,p95_days_lag1_4,1.80892320968e-06,.000035204477,.95902008,2260083,19024,21990,3105,-.0000671905841413,.0000708084305607
full_panel_ols,count_ols_diagnostic,election_180_count,p95_days_lag1_4,5.18303376030e-06,.000028179391,.8540684,2260083,14257,15862,3105,-.0000500475575845,.0000604136251051
full_panel_ols,count_ols_diagnostic,certified_rep_365_count,p95_days_lag1_4,7.84688138392e-06,.00002554905,.75874436,2260083,9910,10915,3105,-.000042228337251,.0000579221000188
full_panel_ols,count_ols_diagnostic,failed_180_count,p95_days_lag1_4,4.67559846940e-06,.000014555712,.748043,2260083,5131,5512,3105,-.0000238530735427,.0000332042704815
