Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 28, Phoenix, Arizona",28-RC-219130,"David Saxe Productions, LLC and V Theater Group, LLC, Joint Employers",Closed,04/26/2018,05/17/2021,"Certific. of Representative","Las Vegas",NV,A,"Single Labor Organization",Initial,05/07/2021,56,,"International Alliance of Theatrical Stage Employees Local 720",26,,,,,22,48,,,,"International Alliance of Theatrical Stage Employees Local 720","Included: All full-time and regular part-time Stagehands, Lighting Technicians, Audio Technicians, Spotlight Operators, and Wardrobe Technicians employed by the Employers at the Saxe Theater and V Theater facilities in Las Vegas, Nevada.

Excluded: All other employees including Warehouse Techs, box office employees, ushers, food/beverage servers, talent, security guards and supervisors as defined by the Act.",,,
"Region 02, New York, New York",02-RC-218783,"Concrete Express of NY, LLC",Closed,04/19/2018,03/24/2021,"Certification of Results",Bronx,NY,A,"Single Labor Organization",Rerun,03/16/2021,3,,"Teamsters Local 456, I.B.T.",,,,,,3,3,,,N,,"Included:	All full-time and regular part-time drivers and mechanics employed by the Employer at 2279 Hollers Avenue, Bronx, NY 10475.

Excluded:	All other employees, including clerical employees, guards and managers, and professional employees and supervisors as defined by the Act.",,,
"Region 12, Tampa, Florida",12-RC-221465,"Union Tank Car Company",Closed,06/05/2018,12/31/2020,"Certific. of Representative",Valdosta,GA,A,"Single Labor Organization",Rerun,12/15/2020,121,,"International Association of Sheet Metal, Air, Rail Transportation Workers (SMART)",44,,,,,25,,,1,,"International Association of Sheet Metal, Air, Rail Transportation Workers (SMART)","All full-time and regular part-time production and maintenance employees, including leadsmen, employed by the Employer at its facility located at 400 S. Blanchard Street, Valdosta, Georgia

All other employees, office clerical employees, confidential employees, managerial employees, quality control inspectors, engineering personnal, write-up men, guards, and supervisors as defined in the Act.",,,
"Region 18, Minneapolis, Minnesota",18-RC-212417,"First American Enterprises d/b/a Heritage Lakeside",Closed,01/02/2018,07/22/2020,"Certification of Results","Rice Lake",WI,A,"Single Labor Organization",Rerun,07/15/2020,41,3,"UNITED FOOD AND COMMERCIAL WORKERS UNION LOCAL 1189",9,,,,,13,22,,,,,"Included: All full-time and regular part-time CNA's, Dietary employees, Housekeeping
employees, Laundry employees, Activities employees, Cooks, Ward Clerks, and
Maintenance employees working out of the Employer's facility located at 1016
Lakeshore Drive, Rice Lake, Wisconsin.

Excluded: All other employees, including Administrators, RN's, LPN's, temporary
employees, office clerical employees, professional employees, and guards and
supervisors as defined in the Act, as amended.",,,
"Region 07, Detroit, Michigan",07-RC-232247,"Mercy Health Partners",Closed,12/07/2018,11/10/2020,"Certific. of Representative",Muskegon,MI,A,"Two Labor Organizations",Initial,07/07/2020,820,6,"Michigan Nurses Association",333,"SEIU Healthcare Michigan",373,,,3,709,,30,,"SEIU Healthcare Michigan","All full-time and regular part-time Registered Nurses, including Graduate Nurses,
employed by the Employer at its Mercy Campus, located at 1500 East Sherman Boulevard, Muskegon, 
Michigan, and Hackley Campus, located at 1700 Clinton Street, Muskegon, Michigan, facilities, but 
excluding Directors of Nursing, Clinical Managers and Clinical Leaders, Registered Nurses working 
in Quality Assurance and Utilization Review and Cardiac Rehabilitation Clinic, managerial 
employees, confidential employees, Registered Nurses at the School o  Nursing,
guards, and supervisors as defined in the Act and all other employees.
",,,
"Region 31, Los Angeles, California",31-RD-223318,"Arakelian Enterprises, Inc. d/b/a Athens Services",Closed,07/09/2018,06/30/2020,"Certification of Results",Torrance,CA,A,"Single Labor Organization",Initial,06/19/2020,114,2,"PACKAGE AND GENERAL UTILITY DRIVERS, LOCAL 396, INTERNATIONAL BROTHERHOOD OF TEAMSTERS",23,,,,,78,101,,,,,"INCLUDED:  All full-time and regular part-time employees working at the Employer’s facility at 1301 W. 228th Street, Torrance, CA 90501 in the following classifications: Driver (Class A/B), Utility Driver (Class A/B), Rear Driver, Front Driver, Roll Off Driver, Recycle Driver, Sweeper/Barrel Driver (Class A/B), Bin Driver (Class A/B), Pull Out Driver, Utility Driver (Class C), Porter, Helper/Swamper, Truck Mechanic I, Truck Mechanic II, Truck Mechanic III, Truck Welder, Parts Clerk, Tire Repair, Lube Service, Truck Washer/Shop Utility, Bin Welder, Bin Painter, and Bin Washer.

EXCLUDED:  All other current classifications and employees, including but not limited to Dispatchers, Leads, Foremen, Sales employees, as well as all professional employees, business office clerical employees, technical employees, other nonprofessional employees, guards, managers and supervisors within the meaning of the National Labor Relations Act.
",,,
"Region 31, Los Angeles, California",31-RD-223335,"Arakelian Enterprises, Inc. d/b/a Athens Services",Closed,07/06/2018,06/30/2020,"Certification of Results","Sun Valley",CA,A,"Single Labor Organization",Initial,06/19/2020,11,,"PACKAGE AND GENERAL UTILITY DRIVERS, LOCAL 396, INTERNATIONAL BROTHERHOOD OF TEAMSTERS",3,,,,,8,11,,,,,"INCLUDED:  All full-time and regular part-time employees working at the Employer’s facility at 11266 Peoria Street, Los Angeles, CA 91352 in the following classifications: Driver (Class A/B), Utility Driver (Class A/B), Rear Driver, Front Driver, Roll Off Driver, Recycle Driver, Sweeper/Barrel Driver (Class A/B), Bin Driver (Class A/B), Pull Out Driver, Utility Driver (Class C), Porter, Helper/Swamper, Truck Mechanic I, Truck Mechanic II, Truck Mechanic III, Truck Welder, Parts Clerk, Tire Repair, Lube Service, Truck Washer/Shop Utility, Bin Welder, Bin Painter, and Bin Washer.

EXCLUDED:  All other current classifications and employees, including but not limited to Dispatchers, Leads, Foremen, Sales employees, as well as all professional employees, business office clerical employees, technical employees, other nonprofessional employees, guards, managers and supervisors within the meaning of the National Labor Relations Act.
",,,
"Region 19, Seattle, Washington",19-RC-231425,"Providence Health & Services - Oregon d/b/a Providence Portland Medical Center",Closed,11/20/2018,05/13/2020,"Certification of Results",Portland,OR,A,"Revised Single Labor Org",Initial,05/13/2020,838,2,"Service Employees International Union Local 49",383,,,,,383,766,,,,,"All full-time, regular part-time and per diem non-professional employees employed by the Employer at its acute care hospital located at 4805 NE Glisan St., Portland, Oregon in the following classifications: Aide Perioperative 1, Aide Perioperative 2, Aide Rehab, Assoc Mental Hlth, Asst Food Svc 2, Asst Food Svcs, Asst Imaging Tech, Asst Sterile Processing, Attend Cleaning, Attend Cleaning Lead, Attend Housekeeping 2, Bed Control Coordinator, Buyer-Food, CNA 2, CNA 2 HUC, CNA 2 Med Surg, Cook, Cook Ld, Cook Prep Grill, Coord-Bed Placement, Coord-Food Svcs, Coord-Hlth Unit, Coord-Scheduler/Timekeeper, Coord-Scheduling, Coord-Scheduling LD, Coord-Specialty Scheduling, Coord-Staffing, Coord-Sterile Processing Svc, Diagnostic Imaging Support Specialist, Distributor Linen, Distributor Linen Ld, ED Support Spec, Ld-Food Nutrition, Medical Assistant Cert, Patient Escort, Patient Escort Ld,  PBX Operator, Phlebotomist, Phlebotomist 2, Registrar, Scheduler-Diagnostic Imaging, Scheduler-Diagnostic Imaging LD, Scheduler-Heart and Vascular, Spec-CV Scheduling, Spec-DI Support Lead, Spec-Floor Care, Spec-Mental Health, Spec-PT Dining, Spec-Surg Scheduling, Staffing/Unit Facilitator, Storekeeper-Nutrition Services, Tech Anesthesia Cert, Tech-1-Pharm Acute OC, Tech Anesthesia Ld, Tech Anesthesia Non Cert, Tech ECG/EKG, Tech ECG/EKG Senior, Tech Endoscopy, Tech ER, Tech Hemodialysis, Tech Monitor, Tech Monitor Ld, Tech Pharmacy, Tech Sterile Processing 1, Tech Sterile Processing 2, Tech Videographer Equipment, Tech 1 Pharm Acute, Tech 2 Pharm Acute and Tech 3 Pharm Acute; but excluding all other non-professional employees, professional employees, physicians, registered nurses, technical employees, business office clerical employees, skilled maintenance employees, managerial employees and guards and supervisors as defined by the Act.",,,
"Region 10, Atlanta, Georgia",10-RC-223260,"Paragon Systems, Inc.",Closed,07/09/2018,02/04/2020,"Certific. of Representative",Atlanta,GA,A,"Two Labor Organizations",Rerun,01/27/2020,332,12,"International Union, Security, Police and Fire Professionals of America (SPFPA)",87,"United Government Security Officers of America, International Union (UGSOA) and Its Local 823",68,,,,155,,1,,"International Union, Security, Police and Fire Professionals of America (SPFPA)","All full time and regular part-time armed and unarmed security officers performing guard duties as defined in Section 9(b)(3) of the Act employed by Paragon Systems, Inc. or Praetorian Shield, Inc. assigned to federal facilities throughout the State of Georgia under the Employer’s contract HSHQE4-12-D-0003 with the Department of Homeland Security, Federal Protective Service; but excluding all other employees, office clerical employees, professional employees and supervisors as defined by the Act.",,,
"Region 29, Brooklyn, New York",29-RC-215193,"FDR Services Corp.",Closed,02/20/2018,08/06/2020,"Certific. of Representative",Hempstead,NY,A,"Single Labor Organization",Initial,12/03/2019,197,4,"Laundry Distribution and Food Service Joint Board",103,,,,,1,121,,17,,"Laundry Distribution and Food Service Joint Board","All full-time and regular part-time employees employed by the Employer excluding guards, office employees, clerical employees, confidential employees, and supervisors as defined by the Act.",,,
